Name,URL
Bitcoin,https://www.coingecko.com/en/coins/bitcoin
Ethereum,https://www.coingecko.com/en/coins/ethereum
Tether,https://www.coingecko.com/en/coins/tether
BNB,https://www.coingecko.com/en/coins/bnb
USD Coin,https://www.coingecko.com/en/coins/usd-coin
XRP,https://www.coingecko.com/en/coins/xrp
Cardano,https://www.coingecko.com/en/coins/cardano
Lido Staked Ether,https://www.coingecko.com/en/coins/lido-staked-ether
Dogecoin,https://www.coingecko.com/en/coins/dogecoin
Solana,https://www.coingecko.com/en/coins/solana
Polygon,https://www.coingecko.com/en/coins/polygon
Polkadot,https://www.coingecko.com/en/coins/polkadot
TRON,https://www.coingecko.com/en/coins/tron
Litecoin,https://www.coingecko.com/en/coins/litecoin
Binance USD,https://www.coingecko.com/en/coins/binance-usd
Shiba Inu,https://www.coingecko.com/en/coins/shiba-inu
Avalanche,https://www.coingecko.com/en/coins/avalanche
Dai,https://www.coingecko.com/en/coins/dai
Wrapped Bitcoin,https://www.coingecko.com/en/coins/wrapped-bitcoin
Uniswap,https://www.coingecko.com/en/coins/uniswap
Chainlink,https://www.coingecko.com/en/coins/chainlink
LEO Token,https://www.coingecko.com/en/coins/leo-token
Cosmos Hub,https://www.coingecko.com/en/coins/cosmos-hub
Monero,https://www.coingecko.com/en/coins/monero
Toncoin,https://www.coingecko.com/en/coins/toncoin
OKB,https://www.coingecko.com/en/coins/okb
Ethereum Classic,https://www.coingecko.com/en/coins/ethereum-classic
Stellar,https://www.coingecko.com/en/coins/stellar
Bitcoin Cash,https://www.coingecko.com/en/coins/bitcoin-cash
Internet Computer,https://www.coingecko.com/en/coins/internet-computer
TrueUSD,https://www.coingecko.com/en/coins/true-usd
Filecoin,https://www.coingecko.com/en/coins/filecoin
Lido DAO,https://www.coingecko.com/en/coins/lido-dao
Hedera,https://www.coingecko.com/en/coins/hedera
Cronos,https://www.coingecko.com/en/coins/cronos
Aptos,https://www.coingecko.com/en/coins/aptos
Quant,https://www.coingecko.com/en/coins/quant
NEAR Protocol,https://www.coingecko.com/en/coins/near
Arbitrum,https://www.coingecko.com/en/coins/arbitrum
VeChain,https://www.coingecko.com/en/coins/vechain
ApeCoin,https://www.coingecko.com/en/coins/apecoin
Algorand,https://www.coingecko.com/en/coins/algorand
